Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category
Graphic Designer,98519,27,PhD,0.81,0.88,0.32,Medium
Retail Worker,72578,15,PhD,0.35,0.92,0.8,High
Security Guard,94280,18,Bachelor's,0.89,0.79,0.78,High
Lawyer,43777,10,High School,0.9,0.55,0.65,Medium
Nurse,81040,14,Master's,0.85,1.04,0.25,Low
Chef,97313,6,PhD,0.72,1.49,0.58,Medium
Mechanic,59092,26,Bachelor's,0.01,0.86,0.54,Medium
UX Researcher,66613,23,Master's,0.71,0.86,0.33,Medium
Research Scientist,40292,25,PhD,0.09,0.63,0.15,Low
Nurse,111335,0,Master's,0.27,1.5,0.09,Low
Research Scientist,86747,16,Master's,0.54,1.13,0.11,Low
Chef,129318,20,Master's,0.58,1.45,0.32,Medium
Nurse,38789,29,Bachelor's,0.65,1.23,0.21,Low
UX Researcher,85823,16,High School,0.66,1.02,0.31,Medium
AI Engineer,123286,17,High School,0.8,0.77,0.27,Low
Financial Analyst,63161,23,Bachelor's,0.49,0.58,0.55,Medium
Data Scientist,103889,10,Bachelor's,0.62,0.93,0.42,Medium
Nurse,135584,11,PhD,0.69,1.38,0.29,Low
Software Engineer,50968,29,High School,0.65,1.25,0.55,Medium
Mechanic,137814,16,Master's,0.28,0.57,0.58,Medium
Mechanic,83015,10,High School,0.04,1.16,0.41,Medium
Data Scientist,86862,1,Bachelor's,0.21,1.04,0.59,Medium
Nurse,115501,10,Master's,0.93,0.51,0.07,Low
Mechanic,141768,0,Master's,0.56,1,0.36,Medium
Truck Driver,53524,25,PhD,0.24,0.82,0.75,High
Doctor,38419,16,High School,0.08,1.21,0.28,Low
Graphic Designer,94800,4,PhD,0.19,1.29,0.48,Medium
Lawyer,111976,22,High School,0.37,1.31,0.51,Medium
Construction Worker,67909,8,High School,0.2,0.87,0.83,High
AI Engineer,46934,6,Bachelor's,0.41,0.64,0.22,Low
Financial Analyst,41586,23,Bachelor's,0.27,0.91,0.66,Medium
Financial Analyst,77013,29,Master's,0.13,0.8,0.53,Medium
UX Researcher,133693,3,High School,0.25,0.56,0.35,Medium
Research Scientist,78825,21,Bachelor's,0.37,0.85,0.19,Low
Software Engineer,131505,16,Bachelor's,0.57,1.25,0.45,Medium
Truck Driver,90107,9,Bachelor's,0.86,0.92,0.72,High
HR Specialist,71916,28,PhD,0.96,1.31,0.48,Medium
Retail Worker,129794,8,Bachelor's,0.57,1.36,0.82,High
Research Scientist,82186,8,PhD,0.18,1.42,0.17,Low
Chef,72531,15,Bachelor's,0.51,1.31,0.32,Medium
Construction Worker,127596,19,PhD,0.87,1.44,0.9,High
Retail Worker,124826,16,High School,0.53,0.56,0.73,High
Teacher,48320,10,High School,0.8,0.98,0.08,Low
Financial Analyst,62449,9,Master's,0.12,1.46,0.42,Medium
Security Guard,84097,24,Master's,0.72,1.25,0.83,High
Construction Worker,64629,28,Master's,0.63,0.78,0.93,High
Chef,38859,12,High School,0.5,0.58,0.55,Medium
Chef,40082,29,Master's,0.94,1.43,0.38,Medium
UX Researcher,136153,25,Master's,0.32,0.92,0.39,Medium
Construction Worker,70612,10,Master's,0.93,1.15,0.79,High
Software Engineer,118444,8,Master's,0.38,0.78,0.59,Medium
Research Scientist,94204,25,Bachelor's,0.59,1.04,0.05,Low
Doctor,39852,11,High School,0.89,1.14,0.15,Low
Nurse,144476,29,High School,0.41,0.61,0.07,Low
Software Engineer,128336,7,High School,0.35,0.83,0.49,Medium
HR Specialist,77598,8,Bachelor's,0.46,1.21,0.63,Medium
Research Scientist,60628,2,High School,0.02,0.67,0.2,Low
Data Scientist,96188,7,High School,0.4,0.58,0.59,Medium
Marketing Manager,42516,19,High School,0.27,1.09,0.5,Medium
AI Engineer,54722,22,High School,0.27,0.96,0.27,Low
Lawyer,58743,1,PhD,0.24,1.42,0.51,Medium
Doctor,31695,19,PhD,0.43,0.98,0.21,Low
Customer Support,93294,4,PhD,0.84,0.54,0.76,High
Research Scientist,116310,27,High School,0.72,1.42,0.15,Low
Nurse,60615,18,Master's,0.41,0.98,0.07,Low
Data Scientist,64568,6,High School,0.74,1.27,0.56,Medium
Research Scientist,34507,20,Bachelor's,0.89,0.77,0.26,Low
Nurse,58343,26,PhD,0.46,0.76,0.11,Low
Research Scientist,84544,3,High School,0.41,1.28,0.24,Low
Nurse,112790,2,Master's,0.54,0.63,0.24,Low
Chef,99918,19,Bachelor's,0.79,0.96,0.37,Medium
Customer Support,47290,27,High School,0.3,1.4,0.94,High
Chef,78002,21,Bachelor's,0.87,1.16,0.47,Medium
UX Researcher,39372,24,Bachelor's,0.91,0.77,0.66,Medium
Doctor,87911,21,Bachelor's,0.08,0.55,0.16,Low
Teacher,87920,14,Bachelor's,0.66,0.55,0.08,Low
Doctor,86768,24,PhD,0.64,1.09,0.27,Low
Security Guard,43866,24,Master's,0.48,0.9,0.74,High
Security Guard,133627,16,Bachelor's,0.61,0.9,0.75,High
Security Guard,45700,9,Master's,0.78,1.42,0.75,High
Research Scientist,112799,18,PhD,0.56,1.15,0.05,Low
Software Engineer,74458,4,PhD,0.19,1.23,0.36,Medium
Nurse,50125,19,PhD,0.25,1.18,0.22,Low
Mechanic,78926,28,High School,0.18,1.09,0.52,Medium
Graphic Designer,138778,3,Master's,0.51,1,0.43,Medium
Retail Worker,30671,9,High School,0.62,0.94,0.75,High
HR Specialist,114153,26,Master's,0.02,1.4,0.38,Medium
Chef,69574,3,PhD,0.65,0.62,0.51,Medium
HR Specialist,144616,26,Bachelor's,0.37,0.87,0.45,Medium
Construction Worker,144313,23,PhD,0.01,1.37,0.81,High
AI Engineer,79047,21,PhD,0.69,0.67,0.12,Low
Retail Worker,116649,25,High School,0.68,0.75,0.92,High
HR Specialist,131192,2,PhD,0.32,1.22,0.56,Medium
HR Specialist,84165,10,PhD,0.46,0.99,0.31,Medium
Financial Analyst,132488,5,Bachelor's,0.94,1.1,0.34,Medium
Truck Driver,57757,2,High School,0.63,0.85,0.77,High
Marketing Manager,106095,29,PhD,0.22,1.43,0.5,Medium
Nurse,84304,0,Bachelor's,0.44,1.44,0.06,Low
Nurse,86414,0,PhD,0.91,1.34,0.26,Low
Data Scientist,47040,4,Bachelor's,0.97,0.94,0.64,Medium
Data Scientist,80192,23,Bachelor's,0.33,1.48,0.57,Medium
Financial Analyst,141359,16,Master's,0.51,0.7,0.43,Medium
Construction Worker,52394,29,Master's,0.04,1.12,0.89,High
Retail Worker,75482,17,PhD,0.52,1.08,0.89,High
Truck Driver,147232,27,High School,0.31,1.34,0.72,High
UX Researcher,147220,13,PhD,0.64,0.86,0.32,Medium
Chef,107078,26,Bachelor's,0.7,0.64,0.56,Medium
Chef,63979,7,Bachelor's,0.18,1.46,0.45,Medium
Construction Worker,120290,17,High School,0.6,0.67,0.89,High
Research Scientist,51573,17,PhD,0.2,1.11,0.07,Low
Teacher,79984,28,High School,0.32,0.83,0.06,Low
Graphic Designer,96770,13,Bachelor's,0.92,0.52,0.53,Medium
Mechanic,68031,23,PhD,0.45,1.17,0.43,Medium
Security Guard,124238,4,PhD,0.59,1.12,0.86,High
Data Scientist,105587,24,PhD,0.41,0.63,0.63,Medium
AI Engineer,34023,14,High School,0.84,0.73,0.27,Low
Mechanic,72215,8,PhD,0.88,0.91,0.42,Medium
Marketing Manager,82870,8,Master's,0.33,1.11,0.65,Medium
Marketing Manager,32978,15,Master's,0.38,1.44,0.49,Medium
Marketing Manager,45522,9,Master's,0.32,1.28,0.6,Medium
Software Engineer,63414,0,High School,0.61,1.27,0.48,Medium
Research Scientist,47140,14,Bachelor's,0.1,0.59,0.23,Low
Research Scientist,140261,8,High School,0.21,0.65,0.28,Low
Doctor,62975,1,Master's,0.88,1.5,0.11,Low
AI Engineer,146004,26,PhD,0.08,0.76,0.05,Low
Graphic Designer,57167,19,High School,0.48,0.82,0.64,Medium
Chef,39046,24,High School,0.71,1.24,0.42,Medium
Doctor,113184,12,High School,0.4,1.02,0.15,Low
Data Scientist,52689,4,High School,0.01,1.28,0.63,Medium
Truck Driver,125494,16,Master's,0.46,1.44,0.92,High
Doctor,111214,12,Bachelor's,0.77,0.86,0.1,Low
Construction Worker,139071,16,PhD,0.21,0.74,0.73,High
Data Scientist,34027,8,Bachelor's,0.74,1.39,0.48,Medium
HR Specialist,129074,19,Bachelor's,0.41,1.25,0.35,Medium
Data Scientist,114785,13,High School,0.13,1.29,0.31,Medium
Construction Worker,149107,24,Master's,0.34,0.61,0.77,High
Mechanic,42380,21,PhD,0.4,1.38,0.47,Medium
Doctor,81331,7,High School,0.9,0.61,0.23,Low
Teacher,38245,22,Master's,0.81,0.61,0.3,Low
UX Researcher,76766,22,PhD,0.29,0.5,0.39,Medium
Chef,121865,16,PhD,0.35,1.26,0.53,Medium
Teacher,133457,6,PhD,0.16,0.67,0.24,Low
Truck Driver,131126,12,Bachelor's,0.9,0.85,0.84,High
Construction Worker,73066,29,Master's,0.79,1.13,0.74,High
Doctor,72875,27,Master's,0.98,0.51,0.21,Low
Security Guard,90011,18,High School,0.01,1.16,0.79,High
Software Engineer,98232,12,PhD,0.03,0.84,0.69,Medium
Chef,132491,23,Master's,0.19,1.27,0.64,Medium
Data Scientist,70741,18,High School,0.34,0.92,0.5,Medium
Truck Driver,76566,24,High School,0.7,0.71,0.81,High
AI Engineer,78817,28,High School,0.46,1.44,0.17,Low
Software Engineer,137334,1,Master's,0.65,1.33,0.32,Medium
Financial Analyst,30591,5,Master's,0.63,1.2,0.56,Medium
Retail Worker,42938,26,Bachelor's,0.5,0.66,0.79,High
Construction Worker,82076,5,Master's,0.97,1.25,0.74,High
Nurse,71628,19,PhD,0.85,0.92,0.07,Low
Truck Driver,82136,2,Master's,0.38,0.97,0.86,High
Marketing Manager,74440,7,PhD,0.5,0.92,0.38,Medium
Doctor,43453,7,PhD,0.31,0.74,0.12,Low
Chef,140252,7,Master's,0.27,1.3,0.7,Medium
Financial Analyst,99212,29,High School,0.09,1.15,0.56,Medium
Graphic Designer,50043,3,Master's,0.81,0.64,0.49,Medium
Financial Analyst,33017,21,Master's,0.15,1.23,0.3,Low
Teacher,118913,2,Master's,0.46,1.35,0.16,Low
Customer Support,144420,2,Master's,0.56,1.29,0.84,High
Customer Support,126805,15,Bachelor's,0.8,0.87,0.8,High
Chef,144780,8,Bachelor's,0.17,1.4,0.56,Medium
Chef,137009,13,Bachelor's,0.86,0.57,0.57,Medium
AI Engineer,82328,8,Bachelor's,0.51,1.17,0.26,Low
Software Engineer,78542,25,Master's,0.86,0.65,0.48,Medium
UX Researcher,35703,5,PhD,0.96,0.6,0.31,Medium
Data Scientist,110146,21,PhD,0.67,0.72,0.31,Medium
Software Engineer,117052,8,PhD,0.54,0.95,0.48,Medium
Teacher,89254,25,PhD,0.16,1.38,0.16,Low
Mechanic,62009,14,PhD,0.5,0.71,0.32,Medium
HR Specialist,56651,18,Bachelor's,0.32,0.59,0.39,Medium
Graphic Designer,59410,16,PhD,0.93,1.33,0.43,Medium
Nurse,103844,2,Master's,0.89,1.35,0.18,Low
Retail Worker,128035,23,Master's,0.36,0.78,0.74,High
Truck Driver,147270,13,Bachelor's,0.43,0.55,0.83,High
Nurse,43769,2,Bachelor's,0.23,0.83,0.1,Low
Financial Analyst,103616,14,Bachelor's,0.25,0.76,0.52,Medium
Construction Worker,79004,28,Master's,0.57,0.97,0.82,High
Graphic Designer,140190,17,Master's,0.13,0.98,0.61,Medium
Truck Driver,51071,6,PhD,0.85,0.85,0.86,High
Marketing Manager,97913,15,High School,0.65,0.83,0.46,Medium
Lawyer,138336,8,Bachelor's,0.57,1.35,0.4,Medium
Doctor,37432,23,High School,0.48,0.62,0.1,Low
Lawyer,54578,27,High School,0.65,0.85,0.67,Medium
Financial Analyst,83609,24,High School,0.03,0.82,0.62,Medium
Software Engineer,51182,8,High School,0.05,1.44,0.51,Medium
UX Researcher,127841,1,PhD,0.2,0.53,0.62,Medium
Research Scientist,101160,5,High School,0.72,0.51,0.2,Low
Marketing Manager,38711,7,Bachelor's,0.37,1.26,0.69,Medium
Graphic Designer,138886,23,Master's,0.76,1.27,0.65,Medium
Research Scientist,97696,20,High School,0.53,0.69,0.16,Low
Truck Driver,105948,10,High School,0.76,1.27,0.81,High
Lawyer,44235,15,PhD,0.1,1.45,0.62,Medium
Truck Driver,61688,26,High School,0.12,1.26,0.93,High
Security Guard,47883,22,High School,0.53,0.6,0.92,High
Customer Support,105569,15,PhD,0.58,1.2,0.86,High
Software Engineer,73271,9,Bachelor's,0.31,0.61,0.64,Medium
Teacher,147327,15,Bachelor's,0.18,1.32,0.12,Low
Security Guard,76798,0,Master's,0.2,0.84,0.82,High
Doctor,127077,9,Master's,0.7,1.01,0.27,Low
Construction Worker,145088,12,Master's,0.81,0.72,0.88,High
Data Scientist,33841,28,High School,0.47,1.16,0.66,Medium
Data Scientist,141789,27,Bachelor's,0.55,1.16,0.43,Medium
Teacher,102828,1,Bachelor's,0.54,1.04,0.17,Low
UX Researcher,50754,13,High School,0.37,1.46,0.63,Medium
Construction Worker,105481,14,High School,0.8,1.06,0.7,Medium
UX Researcher,118110,3,Master's,0.02,1.43,0.62,Medium
Mechanic,96178,16,High School,0.08,1,0.57,Medium
HR Specialist,146903,21,PhD,0.13,0.59,0.54,Medium
Chef,101835,22,Master's,0.45,1.23,0.45,Medium
UX Researcher,144300,13,PhD,0.27,1.03,0.63,Medium
Doctor,80908,14,High School,0.43,0.83,0.09,Low
HR Specialist,30567,8,Bachelor's,0.98,1.14,0.41,Medium
Truck Driver,119342,3,High School,0.8,1.47,0.82,High
Customer Support,106762,7,Bachelor's,0.06,0.68,0.89,High
Marketing Manager,101486,16,PhD,0.95,0.86,0.4,Medium
Mechanic,56926,15,Master's,0.91,1.03,0.36,Medium
Research Scientist,64986,26,PhD,0.75,1.36,0.21,Low
Financial Analyst,30944,9,High School,0.52,1.33,0.47,Medium
HR Specialist,60540,11,Master's,0.08,0.75,0.58,Medium
Data Scientist,87410,12,Bachelor's,0.46,1.05,0.68,Medium
Data Scientist,148362,2,Master's,0.56,0.8,0.37,Medium
Software Engineer,72460,12,Master's,0.6,0.76,0.51,Medium
Chef,130257,4,Master's,0.82,0.69,0.58,Medium
Truck Driver,106054,29,High School,0.48,0.54,0.94,High
Teacher,139588,26,PhD,0.66,0.84,0.22,Low
HR Specialist,97143,15,Bachelor's,0.88,0.71,0.67,Medium
Mechanic,49798,14,PhD,0.01,0.69,0.34,Medium
Doctor,87748,7,PhD,0.52,1.24,0.19,Low
Retail Worker,46254,16,High School,0.62,0.69,0.82,High
Chef,75211,1,Bachelor's,0.99,1.45,0.33,Medium
HR Specialist,39695,6,PhD,0.35,0.97,0.43,Medium
Mechanic,57740,0,Bachelor's,0.11,1,0.58,Medium
Security Guard,99306,14,Bachelor's,0.4,0.6,0.72,High
UX Researcher,54524,17,High School,0.42,0.57,0.5,Medium
UX Researcher,92345,23,Bachelor's,0.19,1.41,0.51,Medium
Teacher,93220,27,Master's,0.45,1.47,0.26,Low
Lawyer,108610,13,Master's,0.43,0.73,0.7,Medium
Financial Analyst,64722,23,Bachelor's,0.19,1.17,0.34,Medium
Security Guard,70910,20,PhD,0.92,0.87,0.93,High
AI Engineer,138347,21,Bachelor's,0.78,0.96,0.22,Low
Marketing Manager,58152,13,Master's,0.82,1.05,0.48,Medium
Lawyer,95063,3,PhD,0.74,1.03,0.62,Medium
Retail Worker,125761,21,PhD,0.86,0.76,0.76,High
Graphic Designer,31645,4,High School,0.97,1.32,0.38,Medium
Customer Support,73262,2,PhD,0.64,0.51,0.71,High
Retail Worker,51730,25,High School,0.77,0.72,0.77,High
Security Guard,123878,5,Bachelor's,0.76,0.77,0.82,High
Software Engineer,89300,11,High School,0.04,0.93,0.32,Medium
Data Scientist,131971,5,Bachelor's,0.87,1.43,0.43,Medium
HR Specialist,113441,10,Bachelor's,0.26,1.16,0.31,Medium
Customer Support,87589,15,Bachelor's,0.99,1.48,0.92,High
Graphic Designer,113446,8,High School,0.73,1.31,0.64,Medium
Retail Worker,135301,25,Master's,0.06,1.07,0.92,High
Lawyer,118552,4,Master's,0.43,0.7,0.66,Medium
Marketing Manager,148977,29,PhD,0.42,1.07,0.45,Medium
UX Researcher,48715,17,Master's,0.73,0.6,0.59,Medium
HR Specialist,147045,19,PhD,0.17,0.53,0.43,Medium
Software Engineer,40196,16,High School,0.6,1.11,0.51,Medium
Truck Driver,141054,25,PhD,0.47,1.18,0.92,High
Customer Support,132785,24,PhD,0.51,1.17,0.8,High
UX Researcher,123249,23,Master's,0.49,1.07,0.59,Medium
Research Scientist,62500,21,Bachelor's,0.95,1.13,0.14,Low
Customer Support,136128,9,Bachelor's,0.49,1.41,0.91,High
AI Engineer,142109,8,Bachelor's,0.94,0.87,0.06,Low
UX Researcher,87737,25,Master's,0.75,1.44,0.54,Medium
Teacher,121903,0,Master's,0.96,0.71,0.13,Low
AI Engineer,141654,27,High School,0.64,1.39,0.27,Low
UX Researcher,50662,20,High School,0.61,1.2,0.48,Medium
Software Engineer,116755,1,Bachelor's,0.44,0.56,0.69,Medium
Data Scientist,133719,6,High School,0.16,0.87,0.64,Medium
HR Specialist,127427,21,Bachelor's,0.34,1.04,0.57,Medium
Chef,130628,7,PhD,0.01,1.49,0.57,Medium
Teacher,43686,3,High School,0.12,0.99,0.21,Low
Research Scientist,57313,26,PhD,0.85,1.35,0.17,Low
UX Researcher,91404,6,Master's,0.83,0.91,0.51,Medium
Financial Analyst,109794,20,Bachelor's,0.54,1.19,0.49,Medium
HR Specialist,49416,8,PhD,0.19,0.52,0.51,Medium
Nurse,56162,9,High School,0.43,1.46,0.23,Low
Customer Support,85420,4,Bachelor's,0.17,1.21,0.77,High
Financial Analyst,82948,4,Bachelor's,0.59,1.15,0.48,Medium
Nurse,91336,8,PhD,0.16,1.29,0.3,Low
HR Specialist,104474,16,Master's,0.68,1.18,0.57,Medium
Customer Support,72628,8,Master's,0.92,0.98,0.86,High
Research Scientist,135494,19,High School,0.62,0.64,0.18,Low
Mechanic,71751,2,High School,0.37,0.58,0.59,Medium
Truck Driver,86087,1,High School,0.55,0.58,0.9,High
Nurse,127425,29,High School,0.61,0.85,0.13,Low
Data Scientist,133587,16,Bachelor's,0.43,0.99,0.67,Medium
Security Guard,140373,5,Master's,0.63,1.38,0.92,High
AI Engineer,133080,14,Bachelor's,0.13,1.09,0.21,Low
Chef,123012,20,PhD,0.31,1.07,0.4,Medium
Financial Analyst,76629,11,Master's,0.61,0.9,0.56,Medium
Financial Analyst,33811,3,PhD,0.55,0.88,0.36,Medium
Teacher,95283,4,High School,0.3,1.39,0.3,Low
Nurse,113205,1,High School,0.15,0.77,0.11,Low
HR Specialist,100453,28,Bachelor's,0.58,0.67,0.47,Medium
Nurse,68397,14,Master's,0.84,1.18,0.1,Low
Lawyer,113824,10,Bachelor's,0.1,1.34,0.63,Medium
Data Scientist,50758,26,Bachelor's,0.79,0.72,0.33,Medium
Mechanic,135900,8,Master's,0.78,0.83,0.43,Medium
AI Engineer,133613,11,PhD,0.71,1.37,0.06,Low
HR Specialist,93115,10,High School,0.07,0.67,0.42,Medium
Research Scientist,129683,11,Master's,0.38,1.21,0.06,Low
Marketing Manager,83013,15,Bachelor's,0.25,0.84,0.48,Medium
Teacher,45233,16,High School,0.68,0.98,0.09,Low
Nurse,50765,19,PhD,0.68,0.56,0.19,Low
Retail Worker,108766,18,Bachelor's,0.14,0.85,0.8,High
Truck Driver,64297,16,High School,0.84,1.03,0.75,High
HR Specialist,76126,10,High School,0.57,1.39,0.49,Medium
Teacher,112694,27,Master's,0.38,1.43,0.16,Low
Doctor,117287,21,High School,0.7,0.6,0.28,Low
Nurse,31082,12,Bachelor's,0.25,1.23,0.16,Low
Security Guard,137252,23,Bachelor's,0.97,0.98,0.88,High
Financial Analyst,31511,17,Bachelor's,0.56,0.79,0.68,Medium
Truck Driver,33145,9,Master's,0.69,0.89,0.79,High
Software Engineer,115642,19,PhD,0.22,0.7,0.37,Medium
Doctor,128303,9,Bachelor's,0.56,1.15,0.09,Low
Construction Worker,81142,16,Bachelor's,0.59,0.85,0.82,High
Research Scientist,89817,13,PhD,0.96,1,0.28,Low
Lawyer,124410,0,Master's,0.17,0.84,0.46,Medium
Chef,138139,15,Bachelor's,0.78,1.1,0.56,Medium
Research Scientist,78657,18,PhD,0.95,0.63,0.22,Low
Truck Driver,69309,8,PhD,0.57,1.39,0.86,High
UX Researcher,68669,17,Master's,0.49,1.36,0.34,Medium
Truck Driver,87033,27,PhD,0.82,0.7,0.75,High
Teacher,80658,5,PhD,0.96,0.58,0.16,Low
Software Engineer,136081,29,High School,0.84,0.98,0.51,Medium
Software Engineer,48728,11,Bachelor's,0.65,1.43,0.36,Medium
HR Specialist,52286,15,High School,0.97,1.18,0.3,Low
Financial Analyst,55727,28,PhD,0.19,1.4,0.38,Medium
Marketing Manager,104638,10,Master's,1,0.67,0.61,Medium
Data Scientist,119363,1,PhD,0.35,1.39,0.37,Medium
Construction Worker,141597,26,Bachelor's,0.74,0.96,0.84,High
Marketing Manager,72756,18,PhD,0.61,1.35,0.49,Medium
Research Scientist,77774,10,High School,0.95,1.14,0.27,Low
Retail Worker,119865,12,Master's,0.95,1.2,0.71,High
AI Engineer,33692,25,High School,0.73,1.3,0.29,Low
Research Scientist,139419,4,PhD,0.39,0.91,0.09,Low
Truck Driver,48782,6,Bachelor's,0.09,1.36,0.9,High
Retail Worker,140349,14,Master's,0.53,0.91,0.77,High
Software Engineer,80075,22,Bachelor's,0.65,1.45,0.62,Medium
Mechanic,120629,22,Bachelor's,0.36,1.23,0.34,Medium
AI Engineer,135899,24,Bachelor's,0.53,1.25,0.16,Low
Marketing Manager,115333,1,Master's,0.29,0.82,0.57,Medium
Mechanic,93908,22,Master's,0.67,0.97,0.44,Medium
Retail Worker,41564,3,Master's,0.67,0.75,0.78,High
Truck Driver,144507,9,High School,0.56,1.09,0.79,High
Graphic Designer,147679,29,Master's,0.92,1.19,0.6,Medium
Research Scientist,132811,12,Master's,0.82,1.26,0.3,Low
UX Researcher,54940,26,Master's,0.06,0.55,0.47,Medium
Software Engineer,144326,14,PhD,0.39,0.8,0.56,Medium
Nurse,30511,18,Master's,0.67,0.73,0.13,Low
Software Engineer,49359,26,Bachelor's,0.9,0.77,0.41,Medium
Mechanic,36265,15,High School,0.56,0.61,0.36,Medium
Lawyer,122313,25,Master's,0.95,0.84,0.48,Medium
Chef,39280,1,PhD,0.43,0.7,0.52,Medium
Construction Worker,80281,26,Bachelor's,0.94,1.28,0.85,High
UX Researcher,98354,16,High School,0.84,0.53,0.63,Medium
Financial Analyst,140951,11,High School,0.38,1.37,0.45,Medium
Retail Worker,145131,22,Master's,0.11,1.42,0.89,High
Nurse,51529,7,Bachelor's,0.93,0.74,0.25,Low
Retail Worker,30594,25,Master's,0.28,0.98,0.71,High
Retail Worker,142770,22,Master's,0.32,1.05,0.74,High
Marketing Manager,122995,5,High School,0.07,0.6,0.47,Medium
Research Scientist,137126,7,Master's,0.1,1.17,0.05,Low
Customer Support,44372,26,Bachelor's,0.12,0.8,0.94,High
Nurse,53795,7,Master's,0.65,0.86,0.11,Low
Security Guard,80697,15,Bachelor's,0.85,0.9,0.91,High
Graphic Designer,118078,13,PhD,0.07,1.04,0.66,Medium
Nurse,125773,28,Master's,0.49,0.61,0.16,Low
Data Scientist,93766,10,PhD,0,1.43,0.44,Medium
Truck Driver,105569,0,Bachelor's,0.37,0.84,0.76,High
Teacher,45782,19,Bachelor's,0.74,0.84,0.16,Low
Construction Worker,127288,12,High School,0.46,1.26,0.83,High
Security Guard,107865,2,Master's,0.59,0.69,0.92,High
AI Engineer,75986,27,PhD,0.5,0.52,0.14,Low
HR Specialist,60276,19,Master's,0.76,0.77,0.36,Medium
Financial Analyst,137294,2,High School,0.09,1.34,0.64,Medium
Graphic Designer,147272,3,PhD,0.79,1.1,0.53,Medium
Mechanic,45819,24,PhD,0.62,0.98,0.46,Medium
AI Engineer,36473,18,Bachelor's,0.58,0.57,0.09,Low
Retail Worker,62556,27,Master's,0.36,1.07,0.91,High
Research Scientist,88209,7,Bachelor's,0.22,0.66,0.11,Low
Lawyer,147067,23,PhD,0.93,0.76,0.43,Medium
Lawyer,38699,3,High School,1,0.88,0.54,Medium
Data Scientist,107593,25,Master's,0.86,0.99,0.53,Medium
Security Guard,75076,18,PhD,0.71,1.12,0.86,High
Software Engineer,91743,6,Bachelor's,0.11,1.03,0.64,Medium
Graphic Designer,80924,10,PhD,0.25,0.93,0.55,Medium
Research Scientist,72500,19,PhD,0.55,1.36,0.22,Low
Data Scientist,52380,16,PhD,0.01,1.49,0.37,Medium
Graphic Designer,34355,5,Bachelor's,0.11,1.23,0.32,Medium
UX Researcher,32035,15,Master's,0.31,1.42,0.56,Medium
HR Specialist,32665,17,PhD,0.92,1.03,0.34,Medium
Financial Analyst,100739,14,Bachelor's,0.81,0.81,0.69,Medium
Doctor,128560,24,Master's,0.71,0.98,0.2,Low
Data Scientist,59974,11,Master's,0.15,1.39,0.41,Medium
Teacher,90521,1,High School,0.6,0.85,0.16,Low
Software Engineer,66476,11,Master's,0.4,1.46,0.7,Medium
Software Engineer,82271,11,PhD,0.24,1.23,0.57,Medium
Chef,33743,23,Master's,0.69,0.94,0.45,Medium
Marketing Manager,111256,7,PhD,0.1,0.83,0.35,Medium
Software Engineer,132859,26,Master's,0.16,0.64,0.54,Medium
AI Engineer,99810,10,High School,0.43,0.9,0.06,Low
UX Researcher,90360,6,Master's,0.02,0.53,0.57,Medium
AI Engineer,130290,4,High School,0.72,0.58,0.08,Low
Customer Support,105656,22,Bachelor's,0.84,0.67,0.72,High
Doctor,107982,0,Master's,0.34,1.26,0.19,Low
Marketing Manager,33970,13,PhD,0.1,0.9,0.69,Medium
Truck Driver,71753,26,PhD,0.56,1.45,0.9,High
Graphic Designer,104354,6,Master's,0.96,0.9,0.65,Medium
Construction Worker,35280,20,Bachelor's,0.44,0.75,0.89,High
Research Scientist,116545,27,Bachelor's,0.03,0.61,0.16,Low
AI Engineer,131041,12,Bachelor's,0.35,1.25,0.16,Low
Software Engineer,134087,23,Bachelor's,0.8,1.13,0.43,Medium
AI Engineer,90985,20,PhD,0.21,0.95,0.09,Low
Truck Driver,118257,6,Bachelor's,0.78,1.34,0.85,High
Teacher,134294,23,Bachelor's,0.35,1.11,0.26,Low
Lawyer,55666,18,Bachelor's,0.92,1.14,0.63,Medium
Security Guard,71516,25,High School,0.97,1,0.74,High
Nurse,48226,18,Bachelor's,0.86,0.99,0.08,Low
AI Engineer,60011,16,Master's,0.26,1.35,0.14,Low
Chef,136979,15,Master's,0.86,1.43,0.34,Medium
Construction Worker,85215,21,Bachelor's,0.31,1.06,0.83,High
Software Engineer,107255,21,Bachelor's,0.92,0.58,0.67,Medium
Retail Worker,70821,27,High School,0.29,1.27,0.89,High
Customer Support,133185,18,Master's,0.1,0.88,0.94,High
Construction Worker,107929,6,Master's,0.35,0.81,0.87,High
Security Guard,49523,29,Master's,0.58,1.2,0.86,High
Construction Worker,88188,24,High School,0.35,1.35,0.94,High
Doctor,77969,6,Bachelor's,0.5,0.89,0.17,Low
Lawyer,149528,12,Master's,0.77,1.45,0.64,Medium
Lawyer,85416,27,High School,0.26,1.05,0.48,Medium
AI Engineer,50491,14,High School,0.74,0.5,0.12,Low
HR Specialist,105955,11,Bachelor's,0.57,0.77,0.46,Medium
HR Specialist,97519,26,High School,0.57,0.94,0.52,Medium
Data Scientist,74775,17,PhD,0.3,0.77,0.35,Medium
Doctor,116437,21,PhD,0.57,1.29,0.19,Low
AI Engineer,112201,21,Bachelor's,0.35,0.83,0.24,Low
